TS,VEJNAVN,BESKRIVELSE,HUSNUMMER,ÅR,DATO,KATEGORI,TÆLLESTEDSTYPE,ANTAL 6-7,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,TOTAL,X-KOORDINAT,Y-KOORDINAT
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2024,9/12/24,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,10115.00,9078.00,7048.00,6103.00,6230.00,6788.00,7606.00,9312.00,10115.00,10097.00,8398.00,5843.00,96733.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2023,9/12/23,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,9218.00,8381.00,6603.00,5916.00,6058.00,6589.00,7431.00,8947.00,9592.00,9307.00,7583.00,5247.00,90872.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2022,9/12/22,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,9304.00,8402.00,6623.00,5924.00,6067.00,6598.00,7419.00,8985.00,9547.00,9347.00,7627.00,5325.00,91168.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2021,9/12/21,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,9089.00,8076.00,6301.00,5725.00,5911.00,6377.00,7255.00,8847.00,9281.00,8995.00,7434.00,5193.00,88484.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2020,9/12/20,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,8577.00,7568.00,5818.00,5369.00,5557.00,6071.00,6887.00,8587.00,9048.00,8636.00,6886.00,4726.00,83730.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2019,9/12/19,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,8577.00,7568.00,5818.00,5369.00,5557.00,6071.00,6887.00,8587.00,9048.00,8636.00,6886.00,4726.00,83730.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2018,9/12/18,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,10115.00,9078.00,7048.00,6103.00,6230.00,6788.00,7606.00,9312.00,10115.00,10097.00,8398.00,5843.00,96733.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2017,9/12/17,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,4947.00,4212.00,2969.00,2798.00,3067.00,3480.00,4123.00,5469.00,5433.00,5146.00,4414.00,3037.00,49095.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2016,9/12/16,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,9.90,8.84,6.77,5.75,5.88,6.40,7.14,9.07,10.08,10.06,8.20,5.59,93.68,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2015,9/12/15,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,9.77,8.71,6.41,5.43,5.55,6.01,6.71,8.60,10.01,9.93,7.78,5.29,90.20,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2014,9/12/14,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,9.79,8.67,6.15,5.06,5.15,5.59,6.22,8.04,9.83,9.75,7.39,4.94,86.57,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2013,9/12/13,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,9.42,8.45,5.66,4.59,4.69,5.09,5.70,7.46,9.30,9.09,6.81,4.53,80.79,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2012,9/12/12,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,9.30,8.62,5.74,4.72,4.78,5.25,5.86,7.55,9.24,9.16,6.89,4.59,81.70,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2011,9/12/11,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,9.40,8.87,5.70,4.58,4.62,5.10,5.67,7.45,9.08,9.03,6.75,4.47,80.72,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2010,9/12/10,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,8.64,7.99,5.57,4.68,4.76,5.20,5.69,7.30,8.71,8.63,6.54,4.47,78.18,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2009,9/12/09,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,9.11,8.16,5.31,4.32,4.40,4.83,5.36,7.05,8.48,8.46,6.35,4.23,76.06,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2008,9/12/08,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,8.77,7.94,5.48,4.63,4.72,5.21,5.68,7.34,8.52,8.43,6.47,4.48,77.66,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2007,9/12/07,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,8.61,7.94,5.62,4.77,4.82,5.27,5.78,7.40,8.57,8.45,6.64,4.67,78.52,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2006,9/12/06,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,8.21,7.63,5.28,4.44,4.45,4.88,5.34,6.93,8.14,8.07,6.14,4.34,73.83,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2005,9/12/05,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,8.02,7.56,5.26,4.42,4.46,4.88,5.35,6.88,8.18,7.96,6.06,4.34,73.36,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2004,9/12/04,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,7.74,7.21,5.09,4.32,4.40,4.79,5.24,6.70,8.08,7.80,5.92,4.26,71.56,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2003,9/12/03,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,7.05,6.88,4.81,4.05,4.02,4.36,4.77,6.05,7.46,7.23,5.50,3.80,65.98,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2002,9/12/02,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,6.71,7.07,4.98,3.98,3.95,4.32,4.73,5.91,7.29,7.11,5.46,3.84,65.34,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2001,9/12/01,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,7.06,6.74,4.53,3.62,3.39,3.70,3.97,5.03,6.78,6.59,4.50,3.13,59.02,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2000,9/12/00,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,7.06,6.74,4.53,3.62,3.39,3.70,3.97,5.03,6.78,6.59,4.50,3.13,59.02,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,1999,9/12/99,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,7.21,6.75,4.50,3.69,3.35,3.67,4.01,5.05,6.70,6.87,4.75,3.54,60.07,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,1998,9/12/98,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,6.21,5.86,3.89,3.37,3.33,3.57,3.93,5.04,6.40,6.27,4.52,3.30,55.68,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2024,9/12/24,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2023,9/12/23,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2022,9/12/22,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2021,9/12/21,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2020,9/12/20,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2019,9/12/19,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2018,9/12/18,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2017,9/12/17,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2016,9/12/16,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2015,9/12/15,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2014,9/12/14,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2013,9/12/13,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2012,9/12/12,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2011,9/12/11,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2010,9/12/10,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2009,9/12/09,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2008,9/12/08,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2007,9/12/07,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2006,9/12/06,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2005,9/12/05,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2004,9/12/04,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2003,9/12/03,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2002,9/12/02,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2001,9/12/01,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,2000,9/12/00,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,1999,9/12/99,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
709,AMAGERMOTORVEJEN,på broen over Avedøre Holme,,1998,9/12/98,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62062684,12.52931056
70,GRØNNEMOSE ALLÉ,v.f. Moseskellet,,2011,9/12/11,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.72256218294859,12.521733883992841
71,HORSEBAKKEN,n.f. Mosesvinget,,2011,9/12/11,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.71814905021931,12.513114079444916
79,RYGÅRDS ALLÉ,s.f. Lundeskovsvej,,2011,9/12/11,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.72260799467511,12.559603740554358
392,LANDLYSTVEJ,v.f. Engdals Allé,,2011,9/12/11,MOTERTRAFIK I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.660457372519545,12.477994530667285
70,GRØNNEMOSE ALLÉ,v.f. Moseskellet,,2011,9/12/11,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.72256218294859,12.521733883992841
71,HORSEBAKKEN,n.f. Mosesvinget,,2011,9/12/11,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.71814905021931,12.513114079444916
79,RYGÅRDS ALLÉ,s.f. Lundeskovsvej,,2011,9/12/11,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.72260799467511,12.559603740554358
392,LANDLYSTVEJ,v.f. Engdals Allé,,2011,9/12/11,CYKLER I ALT,KOMMUNEGRÆNSEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.660457372519545,12.477994530667285